message_id,channel_name,channel_title,message_date,message_text,has_media,image_path,views,forwards
1001,lobelia4cosmetics,Lobelia Cosmetics & Health,2026-06-27T03:50:54.102868+00:00,Coconut oil hair mask. 250ml. Deep conditioning. 320 ETB.,False,,375,27
1002,lobelia4cosmetics,Lobelia Cosmetics & Health,2026-06-26T22:50:54.102868+00:00,Activated charcoal face wash. 150ml. Removes impurities. 280 ETB.,True,data/raw/images/lobelia4cosmetics/1002.jpg,117,8
1003,lobelia4cosmetics,Lobelia Cosmetics & Health,2026-06-26T18:50:54.102868+00:00,Aloe vera gel. 100% pure. 200ml. Soothes skin. 210 ETB.,False,,3466,205
1004,lobelia4cosmetics,Lobelia Cosmetics & Health,2026-06-26T16:50:54.102868+00:00,Tea tree oil (antiseptic). 30ml. For acne & fungal infections. 340 ETB.,True,data/raw/images/lobelia4cosmetics/1004.jpg,2429,175
1005,lobelia4cosmetics,Lobelia Cosmetics & Health,2026-06-26T10:50:54.102868+00:00,Rose water toner. 200ml. Natural pH balance. 180 ETB.,False,,117,6
1006,lobelia4cosmetics,Lobelia Cosmetics & Health,2026-06-26T06:50:54.102868+00:00,Shea butter body lotion. 500ml. SPF 15. 420 ETB.,True,data/raw/images/lobelia4cosmetics/1006.jpg,1025,85
1007,lobelia4cosmetics,Lobelia Cosmetics & Health,2026-06-26T01:50:54.102868+00:00,Nail strengthener (keratin). 15ml. 120 ETB. Quick dry.,False,,7816,662
1008,lobelia4cosmetics,Lobelia Cosmetics & Health,2026-06-25T21:50:54.102868+00:00,Lavender essential oil. 10ml. Relaxation. 250 ETB.,True,data/raw/images/lobelia4cosmetics/1008.jpg,3126,87
1000,tikvahpharma,Tikvah Pharmaceuticals,2026-06-27T05:50:54.102868+00:00,Azithromycin 500mg. 3 tablets/blister. Antibiotic. 210 ETB.,True,data/raw/images/tikvahpharma/1000.jpg,4015,286
1001,tikvahpharma,Tikvah Pharmaceuticals,2026-06-27T01:50:54.102868+00:00,Doxycycline 100mg. 10 capsules. Broad-spectrum. 280 ETB.,False,,6142,508
1002,tikvahpharma,Tikvah Pharmaceuticals,2026-06-26T22:50:54.102868+00:00,Metformin 500mg. Diabetes control. 100 tablets. 340 ETB.,True,data/raw/images/tikvahpharma/1002.jpg,2217,12
1003,tikvahpharma,Tikvah Pharmaceuticals,2026-06-26T18:50:54.102868+00:00,Omeprazole 20mg. Acid reflux. 14 capsules. 150 ETB.,False,,524,28
1004,tikvahpharma,Tikvah Pharmaceuticals,2026-06-26T16:50:54.102868+00:00,Ciprofloxacin 500mg. 10 tablets. 260 ETB. In stock.,True,data/raw/images/tikvahpharma/1004.jpg,7015,98
1005,tikvahpharma,Tikvah Pharmaceuticals,2026-06-26T11:50:54.102868+00:00,Losartan 50mg. Hypertension. 30 tablets. 320 ETB.,False,,7999,384
1006,tikvahpharma,Tikvah Pharmaceuticals,2026-06-26T07:50:54.102868+00:00,Cetirizine 10mg. Antihistamine. 20 tablets. 120 ETB.,True,data/raw/images/tikvahpharma/1006.jpg,5198,56
1007,tikvahpharma,Tikvah Pharmaceuticals,2026-06-26T02:50:54.102868+00:00,Prednisolone 5mg. 100 tablets. Steroid. 450 ETB.,False,,5732,498
1008,tikvahpharma,Tikvah Pharmaceuticals,2026-06-26T00:50:54.102868+00:00,Saline nasal spray. 100ml. 95 ETB. For congestion.,True,data/raw/images/tikvahpharma/1008.jpg,3589,246
